respondent,letter,cond,nword
R_dpwA7pN5Ujfnkkl,"To my future self:    I hope you are still succeeding in your sports or activities, but I hope you also have remembered the very important things to remember about concussions from this study. If you don't remember, I will lay out some of the main points again because it is imperative that you follow these tips. First, know the symptoms of a concussion. Some may include dizziness, light headedness, headaches, not being able to focus, sensitivity to light, etc. However, it may be a few days before some of these symptoms onset. Second, if you take any blow to the head that you may have thought could have been a concussion, please report it. Even if you experience a hit to the head, but don't initially feel any symptoms, please report it still. It is very important to start the healing process and is the quickest way to get you back to normal.    These two things are very important to remember in your life because you may experience concussions in everyday activities and not just through sports. Even though you may not be playing any hard hitting contact sports like football, concussions can still occur and it is very important that you monitor your health and report a concussion if you believe you have suffered one. Your life and health are way more important than playing in any sporting event while you have a concussion. It is just not worth it. It can affect your schooling, your work and disrupt your entire life. You have too many years left on your life filled with a possible wife and kids, don't let the stereotypes of being a man and fighting through pain get in the way of that. Please report any symptoms you may feel or experience, your life depends on it.     Your future self,   Chris",c3,305
R_e5TCJjkQbNUrvIV,"First off, concussion symptoms are not always obvious.  You don't have to pass out/ knocked out for a concussion to occur.  The more you ask your brain to do after an injury will make things worse, e.g. videogames, homework. Common signs are light and noise are bothersome, feel kind of ""off"", feel slowed down, takes longer to solve problems or think of words you're looking for.  Screens and books can also be hard to look at when you have a concussion.  Final list:  headache, nausea, difficulty concentrating, balance issues, double/fuzzy vision, feeling sluggish, foggy, or groggy, slowed reactions, feeling unusually irritable, and trouble with memory like confusion or amnesia.    Important, if you think there is any possibility of having a concussion, move yourself out of any situtations that could cause blows to the head or stress yourself unnecessarily.  Don't cause long term damage just because you think this one game is more important than everything else that will happen in your life.",c2,162
R_8GRTsVHQx7ej9Zj,"How to know if you have a concussion: Headache, nausea, difficulty concentrating, balance problems or dizziness, double or fuzzy vision, sensitivity to light or noise, feeling sluggish, foggy, or groggy, slowed reaction time, feeling unusually irritable, trouble remembering things, feeling confused, or amnesia. What can make these symptoms worse: exercise, studying, video games, computer time.     What should you do for a concussion: tell a health care professional, take time to recover and heal, don't ignore a possible concussion, know the symptoms and get checked out.  Because it is functional injury and not structural.",c2,93
R_9KU1hIWd2XlFwuV,"The symptoms of concussion can include nausea, headaches, irritability, dizziness, fogginess, slowness, and sensitivity to light and noise. If I experience any of these after a head injury, I should get checked out by a medical professional. Concussions can have long term side effects so it is important to know if I have had one.",c2,55
R_8nM2f7xJ8AXeKI5,"So you just fell/knocked your head/otherwise injured yourself. good job... First, don't let adrenaline prevent you from taking stock of your body and take some time right afterward to rebalance and possibly get checked out.    Make sure you tell someone if you think you got a concussion, and don't try to power through bad feelings, especially if they persist. If you're feeling nauseous, your head hurts, or you can't seem to get through the day without some issues like lack of focus or brain delays, don't just rest and move on-you got hurt and it could be a brain injury...",c2,100
R_eaLAJSp5xkAgC8t,I hope to remember that this video is saying that it is better to tell someone when you think you might have a concussion.  If you wait then it could affect you for the rest of your life.,c3,38
R_bIRDddLkJlLpyKN,In the future I hope to remember the positives of speaking up about concussion symptoms. I have experienced the feeling of not wanting to speak up because I felt like I needed to push through it for my team. After watching this video it has helped emphasize that I am putting myself through a high unnecessary risk that could potentially hurt my team more than reporting symptoms.  I also hope to remember that second impact is a serious possibility. In the sport I play (hockey) if I put my self in the situation of pushing through a concussion it would not take much to get hit the same way again. To put my team in that situation would be irresponsible of me as a teammate and as a friend. The better option in almost every scenario is to speak up about symptoms because everyone around you is there to help.,c3,150
R_5gXqBzkno4daCmV,I know you think you're a tough guy and you can't get hurt but the team can take care of themselves and it is in everyone's best interest for you to take the time to heal. There are long term effects of keeping symptoms to yourself and you should put more thought into your future.    Don't be afraid to speak up. There's no shame. Concussions are serious.,c3,67
R_dch5wlOwQo5mvTT,"In the future, it is so important to tell a coach if you are experiencing concussion like symptoms. No matter if you want to keep playing, always tell someone so that you can get the help you need. By not telling anyone and trying to push through the injury, you could severely worsen the symptoms and potentially lead to greater injuries, leading to giving up the sport completely. I hope you remember the significant downsides of not telling anyone about your symptoms so that you will understand how much worse the concussion can get.    If you remember to speak out about the symptoms you are experiencing, you will be able to have a full recovery and get back to playing the game sooner. In addition, you will perform better academically. Don't be afraid to voice what you are feeling because in the long run, your health is so much more important than playing a game. Take care of yourself and no matter what, always tell a professional if you feel concussion-like symptoms.",c3,172
R_06AQmIIkB6aRrvL,"Concussion= headache nausea concentration problems balance or dizzy issues fuzzy or double vision feel sluggish, foggy or groggy slower reaction time irritable memory problems/amnesia  Hard to understand entire video as it doesn't have a transcript or captions for the hearing impaired.",c2,41
R_6fHSbtMFK0EEIrr,"Symptoms of a concussion are:  headache, nausea, difficulty concentrating, balance problems or dizziness, double of fuzzy vision, feeling sluggish, slowed reaction time, feeling unusually irritable, trouble remembering things.  It really is important to get yourself checked if you think you have a concussion.",c2,43
R_0VASKJrPG51kJSd,"What is concussion?  How to prevent it. Symptoms of concussion, including confusion, amenesia, headache, loss of consciousness, nausea, feeling sluggish and foggy, feeling unusually irritable, difficulty with concentration or memory, slowed reaction time and lose of balance. What might makes the symptoms worse, including video-gaming, studying , and exercise.    Concussion is a functional mild injury . can overlap with other symptoms, making it difficult to recognize them. Cause direct hurt or indirect on head. lose personality. have trouble with problem solving, with academic work. Style of play, targeting head. Do not hide concussion on yourself or your teammates. Report. Do not return to play. Get checked out. Take time to recover.",c1,111
R_eLqiRLEqwO8U58h,"In the last video, there were descriptions of how a concussion can occur and the symptoms that may occur after one has happened. A concussion does not only happen with a blow to the head, it can happen in the event of any impact and so must be checked out after any injury. Symptoms of a concussion consist of many involving the personality and attentiveness of the person, and any alteration of one of the two may be a sign of a concussion.    When listening to the doctor talk about concussions, there seems to still be many misconceptions about concussions, how they happen, and what their symptoms are. It is imperative that I know the main causes and signs of a concussion so that I may better help the people around me.",c1,132
R_do0LFhRYghrYU4d,"Dear Future Self,    Today is 10/11/2017 at approximately 19:15 CDT and the Cubs just lost game 4 of the NLDS to the Nationals!! Anyway, your past self just watched a video about concussions. None of this information was new and I expect that you treat concussions as you always have. If you forgot, concussions are serious and you should continue to stop everything and seek advice if you ever display any concussion-like symptoms..    Remember in college when all lacrosse players were required to take an Impact test when they first started playing? This test served as a baseline for diagnosing a concussion. We also had coaches and trainers who would instruct players to take an impact test if they were involved in any big hits or displayed any symptoms. Wouldn't this be a great thing to implement for all activities that are high-risk for concussions?    Hopefully in the future, Rec Sports has better concussion resources available to their athletes. It kind of ridiculous that coaches have no training in preventing concussions and knowing when to keep players out of practice. Remember when Mike played the rest of a lacrosse game, and has zero recollection of the entire second half because of a concussion?    Hopefully you're happy and still playing lacrosse!    <3  Past Self",c1,213
R_4V1BvG2lagdnKnP,"Concussions can greatly impact brain activity. Concussion symptoms do not have to appear immediately. Some concussion symptoms include: headaches, confusion, blacking out, nauseous, trouble concentrating, and slowed reaction times. If proper care is not taken, these symptoms can manifest and become worse.  Concussion diagnosis can be challenging, you do not need to lose consiencence to have a concussion! If you think that you may have suffered a concussion, you win nothing by not reporting. Without treatment, concussions can lead to permanent brain damage and many other issues.",c1,87
R_8Hywrj7kiwmtObH,"there are several things that can signal a concussion that can show up in a range of times. Amnesia, headache, loss of consciousness (not necessary), repeated vomiting, groggy or foggy feeling, unusually irritable, difficulty to focus slowed reaction time, and confusion are signs of concussions.     It is important to recognize a concussion in yourself or teammates because their safety is at risk. A direct blow to the head is not necessary to cause a concussion. Get checked out and take time to recover.",c1,83
R_0BoAOvho4Jsdpat,"If you feel any of the symptoms of a concussion get medical attention to try and evaluate the severity of the injury. Concussions are not just caused by blows to the head, whiplash can cause it too. Their are ways to practice concussion safety, especially by not leading with your head and staying in control.    Concussions can have severe long term damages if not treated properly. Always seek professional advice and be smart about brain injuries, you only have one.",c1,80
R_a2wlAAK90eRqOrj,"It is incredibly important for lifelong health and wellness that you treat a possible concussion early. You are not tough when you choose not to report a concussion, and you are most certainly not considered weak when you report a possible concussion. You will not be looked down on by your teammates or coaches if you choose to report a possible concussion. Moreover, a good coach or teammate would you want you to report it anyway.     Think about the repercussions for not reporting a concussion; you could do serious harm to your health long term. Something as simple as a talk to a trainer about a concussion could prevent losing serious mental capacity. You know you want to have a long prosperous life alongside family and friends, don't let a concussion be the limiting factor to prevent that from happening. Do not neglect the risks of not reporting a concussion.",c3,150
R_d3SdklB6JBzWTbv,"First, remember that a concussion diagnosis isn't as limiting as you think.  Treatment will involve just two days of rest before gradually returning to activities.  And in the long run, an untreated concussion will hurt you far more, and affect your life more than the brief recovery time needed.    Second, don't be afraid to report a concussion during a game.  In rugby (and I'm sure in many other sports) the drive to play through any injuries is strong.  And especially at the club level, where we have limited subs to come on, the pressure to stay in the game is fierce.  However, you'll be worse off by staying in, and moreover, your team will be worse off.  You'll be less effective, slow, make poorer decisions, avoid contact, etc. etc. etc.  It's far better to take yourself out of the game than to try to push through it.",c3,147
R_7P0RicvNUk3jaRf,"The symptoms of a concussion are: headaches, nausea, difficulty concentrating, balance problems/dizziness, double or poor vision, sluggish feeling, sensitivity to light/sound, slowed reaction time, increased irritability, trouble remembering things/confusion/amnesia.  These symptoms can present themselves in varying different degrees for everyone, as not all concussions are the same.    In recognizing the symptoms of a concussion there are three things that you can do.  First, be sure to inform a health care professional so that you can be evaluated for a concussion.  Second, try to take time to recover.  In experiencing brain trauma it is important to give your mind time to rest and heal.  And lastly, be sure to not ignore a possible concussion, if you aren't feeling normal then it is likely that something isn't normal.",c2,126
R_1YRjV8oK7Fih5KR,"Signs that I might have a concussion may not be immediate. Instead, symptoms may be delayed and get worse over a prolonged period of time. Symptoms of a concussion might also not be that severe or obvious. Not getting knocked out doesn't necessarily mean a concussion was avoided.  Some symptoms of a concussion are headaches, nausea, difficulty concentrating, balance problems and dizziness, double or fuzzy vision, feeling sluggish, slowed reaction time, feeling unusually irritable, and trouble remembering things. These symptoms can get worse by doing tasks that require your brain to be highly active. These tasks can include exercise, studying, or playing video games. If there's uncertainty it's safe to consult a health professional.",c2,114
R_5juoC7D3EBEJC8l,"If you suspect yourself to have a concussion, get yourself checked out before it affects your life. The usual symptoms of a concussion are having constant headaches, feeling groggy and nauseous with difficulty balancing, having problems with concentrating with a slow reaction time, feeling weirdly irritable, and having a hard time remembering things.    If you do have a concussion, rest your brain instead of straining it. Activities that require a lot of concentration including heavy exercise, studying and playing games might make concussions worse so refrain from doing them.",c2,89
R_2tSLvq77z8OmPd3,"I always think that having a concussion is related to have a big problem, such as being an unconscious, having a big trauma after the impact or the event. It is not that totally true. I learnt that a concussion can be occurred without having a big or important symptoms and side effects. Even if a small headache can be a result of having a concussion which may lead more serious issues or health problems.    It is crucial to know the whole symptoms and behave accordingly. It is always be good to be in a safe zone and know the total meaning and mechanism of a concussion.",c2,107
R_3ko4vzKBAoSrzxj,"Symptoms are very much on a case by case basis, with no two cases being exactly alike. Most symptoms cannot be physically observed. An example of some of these difficult to notice symptoms are mood changes, fuzzy vision, difficulty sleeping, and a slow reaction time. It can also affect memory, and overall hinders performance of the brain.  If you notice these symptoms, don't ignore it. Seek medical aid, and rest your brain. This can be a simple injury that heals relatively quickly, or you can make it a much bigger issue if you cause any further damage by continuing the physical activity that damaged it in the first place.",c2,109
R_78S9NtdYXjSEdoh,"Future self,   This video is important and some key things to remember from it are first, concussion is damage to the brain from some sort of blow to the head. Next make sure to remember some key prevention steps like good sportsmanship, learn how to properly play a sport, don't dive in with your head. Also if you yourself or if you feel that anyone on your team is displaying symptoms of a concussion then get it checked out. Better to not miss the entire season than one game.     Lastly, just remember that no matter how bad you might think you don't have a concussion, your teammates can tell more than you and if they tell you that you are acting funny then get it checked out.",c1,127
R_8uGs3yqSAz4mrVH,"Jake, are you nauseous? Do you have a headache, or not remember things? Have you recently had something hit you in the head, directly or indirectly? If this is the case, it is possible you have a concussion and it is very important that you go get it checked out.   There are factors, such as exercising and studying, that can make a concussion worse, so if you have had any of the aforementioned symptoms, it is imperative that you go get checked out.           To prevent this in the future, maybe think about the way you are playing.  If you are being overly reckless, or doing things head first, maybe take a second after practice to practice doing those things in a safer way.  Your head is important, so you have to take care of it.  Thanks, Jake",c1,137
R_5syic8RXtMwF1Bz,"Concussions do not require you to be unconscious. If you are feeling, dizzy, have a headache, have trouble concentrating or remembering, have increased sensitivity to light or sound, your sense of balance is off, or something just seems wrong after you hit your head then contact someone. Getting medical attention will most likely help you recover faster so that you can get back on the field as soon as possible.                 Be careful when you go into challenges in the air, or if you get hit with the ball in face really hard. Just monitor your symptoms and how you're feeling. If you think you have a concussion then it is better to check with professionals. Don't be afraid of missing some games, your health is more important.",c1,127
R_9uY8a6aIyifrLet,"Concussions can be very dangerous. As much as you want to keep playing, it is definitely better to stop and take some time to see if you have a concussion. Concussions can affect more than just your performance on the field. They can affect everything from classwork to daily interactions.     Concussions can have long term implications as well. When in doubt get checked out because if you have a concussion and don't get checked out you are at the risk of getting another. At the end of the day it is the health of your brain that is most important. You shouldn't risk that.",c1,104
R_2tNhpMFzQJDVHmd,"I hope to remember the ways in which a concussion can be sustained, and how I could help avoid concussions by being aware of how I make contact with people in my sport. I should also remember the symptoms that can appear when I sustain a concussion, and to not only look for the symptoms from myself but look for them also in my teammates. Remember that I can practice many preventative measures such as always wearing a helmet when doing activities that normally involve wearing a helmet, such as skiing and biking. Other preventative measures starts with my style of play, which means not hitting people unnecessarily when they are not expecting it and also avoiding blows to the head.   Most importantly I hope to remember what should all be done in the situation where I think I have or somebody else has sustained a concussion. The single most important step in this process is to not ignore the symptoms and to tell someone that I think I may have sustained a concussion. This will lead me to get it checked out and then be able to take the proper time to recover from the concussion. I should know that ignoring symptoms at the time could lead me to miss more time later or put me I an even worse situation in terms of my health.",c1,227
R_eLJqr1bwBqs1G9n,"Given that swimming is a generally low-risk sport for concussions, I don't think that you will encounter a situation that would endanger you. Some of the symptoms are: headache, change in consciousness, confusion, amnesia, sluggishness, and difficulty of concentration. If after you hit your head or take an indirect blow where your head moves suddenly and experience one or more, you should definitely find someone and check it out.  If you do end up having a concussion, please don't hide it and find someone to check it out. Report it, and don't go back to exercising until you are cleared, and take the time to recover fully as it is to your own benefit.",c1,114
R_dd3EDlhioCJWit7,"There are many misconceptions about the causes of concussion. A concussion can be caused by a direct or indirect blow to the head. It may not cause you to lose consciousness. Several symptoms of concussions include dizziness, confusion, increased irritability, inability to focus, and a loss of balance.  You may think you have a concussion, even if you do not, because the symptoms of a concussion are also symptoms of other common health problems. If you think you may have a concussion or are experiencing any of these symptoms, it is important to see a health professional. They can give you a professional diagnosis",c1,104
R_6r3rSLtkXKuyM8l,"Concussions are a somewhat common experience in athletics, but should be taken seriously. They can happen when there is a large blow to the head, but this is not required. A blow to the body, a hard hit to the ground, or whiplash can cause a concussion. The symptoms for concussions are pretty general. They can include very noticeable indicators such as vomiting, or loss of consciousness, but often times they don't. Instead, most symptoms lie in unassuming symptoms, such as dizziness, irritability, difficulty concentrating, headaches, and feeling ""out of it"". It can often take another person to notice these subtitle signs.    If you think you or a friend as a concussion, take it seriously. Don't try to tough it out, hide it, or not tell your friend. Act on it and tell a coach or a heath care provider and have them check on you and diagnose you. Afterwards, if you have a concussion, take it easy, both mentally and physically. That way you can heal.     And as the video said, don't miss out, get checked out.",c1,178
R_1N7XLJIUrBHDljf,"A concussion may be hard to detect because it can occur in many ways and with varying severities. None, some, or all of the symptoms of amnesia, confusion, headaches, loss of consciousness, nausea, sluggishness, irritability, difficulty concentrating, and loss of coordination may be present after a concussion. Although concussions are brain injuries, they are functional rather than structural injuries, so they cannot be examined with technology.  Potential concussions must be taken very seriously: a player suspected of having a concussion should report this and not hide it. It is important for the player to rest in order for the brain to heal, as further activity can make the already existing concussion worse or cause another concussion.",c1,116
R_1Ch4Zw9Rwvgx8Rn,"Understand that while symptoms for a concussion might seem mild, they should be taken seriously, as an untreated concussion might lead to further dangers. It is not worth trying to ""tough out"" a concussion. There are really no scenarios where you should ignore the possibility of having a concussion. Always tell someone.     There are a ton of negatives effects that can arise from an unreported concussion. Negatives effects not only involve your physical health, but your emotional and academic health as well.",c3,82
R_06slXUEugaDMevX,"Concussions are a serious injury, and it is important to report any symptoms that you have to someone in order to understand the scope of the injury. If you do not report the injury there are pretty intense repercussions for deciding to not let someone know. Things like mental illness and even a possibility of death are not of the question when concerning an untreated concussion.  Overall, I think it is probably a better idea to at the very least alert someone that you may think you have a concussion if that situation every arises. The consequences of not doing so greatly outweigh simply being vocal about any problems that you have.",c3,112
R_dnHOnaadk4Sxb0x,"A concussion occurs after hitting head. It does not require to loss consciousness. If you don't tell anyone you might have a concussion and just wait to see if the symptoms disappear by themselves, it may lead to severe consequences, like prolonging the recovery process, performing worse at sports or even at academics and personal relationships. Also, you may have greater risks for dementia or other mental health problems.    On the other hand, if you tell someone, a doctor may check your symptoms and give you proper treatment if you truly have a concussion. The rest period may be only 24 to 48 hours.",c3,104
R_9TtJGwUkAfwfGy9,Getting a concussion is not a short-term condition. Recovery from a concussion can be pretty quick if it's properly diagnosed and cared for. Any disorientation felt after a blow to a head should be reported to a professional. Not telling anyone about a possible concussion only has negative effects. Telling someone can only lead to a better life.    It's better for me to simply tell someone about anything weird after hitting my head. It'll be much better for me in the short and long run.,c3,85
R_cHBIpYCjbHFTz9z,"If I ever get another concussion, or think I might have one, I will most certainly cease the activity I am doing and request to be examined. After 4 months of pain and recovery from my first concussion, I want to avoid another experience like that.    My brain and body are not invincible. I only get one of each, and those allow me to be who I am, enjoy the life I have, and experience the future. I don't want to sacrifice that opportunity simply because my athletic pride or peer pressure pushed me. If I ever think something might be wrong, I will play it safe and get it checked out.",c3,112
R_81BqoP9F4GkA7K5,"When in doubt, it is always good to tell someone that you may have a concussion. It is not worth it to put yourself at a risk or the associated anxiety when you do not report it. Also, not getting a proper treatment can affect not only your performance in the sport, but in real life as well. It can also pose a threat to your future health and well-being.     A simple check can put your mind to ease. It is better to miss one game, than a entire season. The treatment usually involves a 24-48 hour rest followed by progressively getting back to normal activities.",c3,106
R_eziane5kGzu2dqB,"I hope to remember multiple things from this video. First, I hope I remember that I cannot physically see a concussion. The only thing that I may be able to see is symptoms. I get common headaches, so it may be difficult to determine a concussion that way, but through difficulty concentrating, dizziness, or nausea, I may be able to detect it early.  Additionally, the most important thing that I want to remember is that playing on a concussion, or even studying and watching TV with a concussion, can make the injury even worse. As the end of the video said, ""when in doubt, get checked out."" It is important to remember that playing in one extra game is not worth the future damage I could be doing to my brain.",c2,131
R_0lyAOCJGGmX6mgt,"Sometimes you might have a headache. It may be from a late night the night before. It might be from all six of your roommates deciding to go IN on Super Smash Bros last evening while you were just trying to get your weekly reading done. Sometimes you might feel groggy and sluggish. Nauseous even. You can't concentrate, you absolutely crawl through your assignments, and you can't be bothered to even take your notebook out in lecture. Yeah, it might just be that pervasive Friday morning hangover. Sometimes you just have an off day.    Hangovers don't happen when you didn't drink the night before. You can't still have a headache from the Super Smash sesh three nights prior. You're an active and alert dude. You don't have medical conditions that induce spontaneous headaches and you don't have trouble concentrating and you're not an aggressive or confrontational person. You don't snap at others unless something's really persistently ringing in your ears (erhem, *cough* Stephanie next door *cough*). But now ask yourself: do you feel right? Is there an actual ringing in your ears? If you're not feeling like Tim normally feels (beyond the standard self-loathing and exhaustion accompanying the ChemE curriculum), ask yourself: have you hit your head recently?",c2,208
R_3VgjssPohPKkBox,"Concussions should not be taken lightly as they can make a permanent impact on your brain if you're not careful. You can get a concussion without having to be knocked out. A concussion is an injury to the brain that can affect you on a functional level, even more in some cases than a physical one like hurting another part of the body. If you get a concussion it's important to report it or at least give your brain a break in order to allow it to recover, because it's easier to get another concussion while you already have one and it will also be easier for that new concussion to be worse.",c2,113
R_cupqwAhjgQCCfWt,"If at one time in the future I sustain an injury to the body or head that is disorienting to me where my vision gets blurry or where I can't understand or focus on a conversation and my head hurts and my sense of direction is phased, I will get it checked out. I will act as soon as I realize something is not right with my level of performance in sport, or school. I will not try to tough it out and I will not try to suppress the symptoms to avoid being taken out of competition or life.    To take action immediately is the right thing to do. As I wait longer for treatment the more severe the injury could become, possibly causing even greater damage to my brain and decreased performance in sports or school, that could be sustained permanently - and even possibly causing death if taken to the extreme.",c3,154
R_0p7HgdGQwBT1Zwp,"When you believe that you may have gotten a concussion, you can choose to either tell someone or try to 'tough it out'. If you choose to not tell someone, there are many additional risks that come into play that can make your concussion even more of a (long term) issue. For example, if you choose not to tell, the situation may become worse by you feeling miserable and exposing yourself to a higher risk of depression, anxiety and self-doubt. Additionally, it is certain that your athletic, social and academic performance will become poorer, and you may not be able to return to your former performance level. You also put yourself at a greater risk for future injuries, some as serious as dementia or even death if a second impact occurs, and you increase your recovery time significantly.    On the other hand, if you choose to tell someone, a professional will assess your symptoms and diagnose you appropriately. Consequently, you will receive proper treatment, and will be able to give your brain time to recover. After a relatively short period of time, you will be able to return to your activity and compete again, and your life will be back to normal.",c3,202
R_cwLL4RDYKsIzF5z,"I know you had issues reporting concussions in high school, but that's all in the past now.  You can't change what you did and where it got you, but you have to tell someone if it ever happens again.  Given your history, you can't risk not getting it properly diagnosed, as if it keeps happening you're going to be in trouble.  Just tell someone if something happens again.    That being said, I really hope you don't get a concussion again.  You've been doing well avoiding contact sports and focusing on lifting and throwing (maybe that's because of your knees too), so keep that up.  There's no reason to risk getting another concussion and ruining your future just to play a contact sport again.  Have fun with what you do, but be careful.  Another one could literally change your future, and you might not bounce back from that next one the way you felt like you did for the others.",c3,159
R_2mdHyzigt2RidE1,"Concussions can occur even if the athlete isn't knocked unconscious, so it's always a good idea to get checked out after experiencing a blow to the head or neck. Keeping my brain healthy is extremely important to me so I will always report potential concussions. I've learned all of the negative effects that hiding a concussion can lead to, and the risks severely outweigh my desire to continue on in a sport or race.    Don't hide your concussion.   Report your concussion.   Get checked out.   Take time to recover.",c1,88
R_3RiwfP6A7lHibWJ,"I would hope to remember that a concussion can occur any time a blow or sudden acceleration is experienced by someone's head, and has a wide range of symptoms. It doesn't require blacking-out or vomiting, but can have less severe symptoms like headaches or changed personality that still warrant investigation and rest.    I would also hope to remember that a concussion of any severity is something to be taken seriously and addressed immediately, since not doing so could lead to further problems down the road and possibly permanent brain damage.",c1,90
